word,value
'em,5590
able,6289
absolutely,4704
accident,2860
act,3307
actually,16585
admit,3091
afraid,7587
after,22182
again,26472
against,6064
ago,7836
agree,2584
ah,11347
ahead,5364
ain't,4541
air,3126
al,3958
alexis,2287
alison,2910
alive,4628
almost,6037
alone,10813
along,5147
already,12233
alright,6348
also,5583
always,20581
am,37814
amazing,3294
an,49832
angel,2701
angry,2747
another,14541
answer,6016
antonio,3188
any,34203
anybody,6376
anymore,8160
anyone,9050
anything,34635
anyway,8517
anywhere,3821
apart,2336
apartment,2920
appreciate,3379
aren't,8065
around,21591
as,67977
ask,14194
asked,7009
asking,4851
ass,3947
at,93433
attention,2397
aunt,2339
away,24543
b.,2928
baby,16514
back,63115
bad,17636
bar,2376
beat,2440
beautiful,7813
because,53566
become,2816
bed,5589
been,55235
before,25329
behind,5388
being,18666
believe,24210
ben,3262
besides,3355
best,14094
bet,4548
beth,2375
better,25282
between,7585
big,19520
bill,2572
billy,2797
birthday,2580
bit,7158
bitch,2341
black,3217
blame,2923
blood,4542
bo,2751
body,4271
book,5027
both,11035
box,2304
boy,11050
boyfriend,2589
boys,3888
break,6941
bring,8320
broke,3044
brooke,2969
brother,7952
brought,5010
buddy,2743
building,2546
business,9295
busy,3229
buy,4345
by,35500
bye,8969
c.,4166
call,25880
called,9871
calling,3714
calls,2389
calm,2948
came,15142
can,107652
can't,62602
cannot,3537
car,10485
care,18042
careful,2785
carly,5055
case,8287
catch,3194
caught,2933
cause,9277
certain,2333
certainly,3895
chance,9081
change,8176
changed,3929
charity,2865
check,8185
child,5913
children,4944
choice,3828
chris,2529
christmas,4284
city,3515
class,3458
clean,2914
clear,4836
close,6877
clothes,2434
club,2963
coffee,4499
cold,3690
college,2589
come,72807
comes,6256
coming,14082
company,4209
completely,3919
concerned,2452
control,4134
cool,5954
could,57285
couldn't,11550
count,2589
country,3187
couple,7150
course,15866
court,2919
cover,2298
craig,2810
crane,3744
crazy,7650
cristian,2659
cut,5305
cute,2504
d.,4108
dad,17003
daddy,4641
damn,8367
dance,3394
danny,2848
dark,2361
darling,3146
date,5581
daughter,7057
david,4589
dawson,2303
day,21860
days,7213
dead,11002
deal,10143
dear,4516
death,5165
decided,3224
decision,2548
definitely,3068
deserve,2516
did,79053
didn't,56732
die,6280
died,3996
different,6464
dinner,6099
doctor,6841
