word,value
'em,5590
able,6289
absolutely,4704
accident,2860
act,3307
actually,16585
admit,3091
afraid,7587
after,22182
again,26472
against,6064
ago,7836
agree,2584
ah,11347
ahead,5364
ain't,4541
air,3126
al,3958
alexis,2287
alison,2910
alive,4628
almost,6037
alone,10813
along,5147
already,12233
alright,6348
also,5583
always,20581
am,37814
amazing,3294
an,49832
angel,2701
angry,2747
another,14541
answer,6016
antonio,3188
any,34203
anybody,6376
anymore,8160
anyone,9050
anything,34635
anyway,8517
anywhere,3821
apart,2336
apartment,2920
appreciate,3379
aren't,8065
around,21591
as,67977
ask,14194
asked,7009
asking,4851
ass,3947
at,93433
attention,2397
aunt,2339
away,24543
b.,2928
baby,16514
back,63115
bad,17636
bar,2376
beat,2440
beautiful,7813
because,53566
become,2816
bed,5589
been,55235
before,25329
behind,5388
being,18666
believe,24210
ben,3262
besides,3355
best,14094
bet,4548
beth,2375
better,25282
between,7585
big,19520
bill,2572
billy,2797
birthday,2580
bit,7158
bitch,2341
black,3217
blame,2923
blood,4542
bo,2751
body,4271
book,5027
both,11035
box,2304
boy,11050
boyfriend,2589
boys,3888
break,6941
bring,8320
broke,3044
brooke,2969
brother,7952
brought,5010
buddy,2743
building,2546
business,9295
busy,3229
buy,4345
by,35500
bye,8969
c.,4166
call,25880
called,9871
calling,3714
calls,2389
calm,2948
came,15142
can,107652
can't,62602
cannot,3537
car,10485
care,18042
careful,2785
carly,5055
case,8287
catch,3194
caught,2933
cause,9277
certain,2333
certainly,3895
chance,9081
change,8176
changed,3929
charity,2865
check,8185
child,5913
children,4944
choice,3828
chris,2529
christmas,4284
city,3515
class,3458
clean,2914
clear,4836
close,6877
clothes,2434
club,2963
coffee,4499
cold,3690
college,2589
come,72807
comes,6256
coming,14082
company,4209
completely,3919
concerned,2452
control,4134
cool,5954
could,57285
couldn't,11550
count,2589
country,3187
couple,7150
course,15866
court,2919
cover,2298
craig,2810
crane,3744
crazy,7650
cristian,2659
cut,5305
cute,2504
d.,4108
dad,17003
daddy,4641
damn,8367
dance,3394
danny,2848
dark,2361
darling,3146
date,5581
daughter,7057
david,4589
dawson,2303
day,21860
days,7213
dead,11002
deal,10143
dear,4516
death,5165
decided,3224
decision,2548
definitely,3068
deserve,2516
did,79053
didn't,56732
die,6280
died,3996
different,6464
dinner,6099
doctor,6841
does,21731
doesn't,25926
dog,3141
doing,32831
dollars,3042
done,16010
door,6907
down,37644
dr.,8917
dream,3471
dress,2501
drink,4706
drive,3607
drop,3546
dude,2775
e.,2964
each,9277
early,2719
earth,2312
easy,6848
eat,5202
eight,2655
either,7075
else,16214
emily,2595
end,8171
enjoy,2463
enough,15322
entire,2976
especially,3376
ethan,5033
eve,2445
even,33895
evening,2998
ever,25127
every,15350
everybody,7163
everyone,7214
everything,23714
everything's,2316
evidence,2514
evil,3078
exactly,11502
except,3406
excuse,10747
expect,3277
explain,3913
eye,3063
eyes,5950
face,9441
fact,7654
fair,2941
fall,3157
family,14765
far,6728
fast,3661
father,16233
fault,4484
favor,2920
feel,23850
feeling,7058
feelings,3603
feels,3067
feet,2555
fell,2419
felt,4748
few,9164
fight,5326
figure,4785
figured,2766
finally,5118
find,26757
fine,22993
finish,2535
finished,2423
fire,5452
first,24509
five,8137
fix,2414
floor,2325
follow,2752
food,3632
forever,3432
forget,9322
forgive,2690
forgot,2845
found,11875
four,6014
frank,3525
frasier,2887
free,5433
friend,12245
friends,9814
from,59972
front,4868
fuck,4453
fucking,3843
full,4533
fun,7404
funny,6054
future,3798
game,5212
gave,7759
george,3013
gets,7023
getting,17199
gift,2371
girl,12641
girlfriend,2325
girls,4048
give,31073
given,3283
giving,4143
glad,7277
go,100905
god,28502
goes,5194
gone,9877
gonna,45124
good,72798
got,86085
gotta,11000
gotten,2640
grace,3693
great,25435
greenlee,2654
guess,18473
gun,3396
guy,21126
guys,19953
ha,8033
had,52561
hadn't,2369
hair,3839
half,5819
hand,6872
handle,4181
hands,5428
hang,4243
happen,11273
happened,19282
happening,3210
happens,4589
happy,12788
hard,10608
has,37145
hasn't,3318
hate,7839
haven't,11699
having,11481
he'd,3087
he'll,5262
he's,57551
head,9794
hear,16523
heard,11692
heart,8824
hell,15191
hello,13655
help,29825
helping,2342
here's,4130
herself,2530
hey,58699
hi,18285
high,5377
him,96536
himself,3331
his,55502
history,2564
hit,6248
hmm,12819
hold,10254
holding,2394
home,22901
honest,3063
honey,11659
honor,3106
hope,13093
hoping,2639
hospital,6378
hot,4777
hotel,2463
hour,4325
hours,5503
house,14458
how,87908
how's,4652
huh,19871
human,2986
hundred,3942
hurry,2559
hurt,11145
husband,6038
i'd,21221
i'll,61169
i've,42160
ice,2345
idea,14203
imagine,2946
important,7582
information,3063
inside,5379
instead,2744
interested,2838
interesting,2497
into,27354
involved,3240
isn't,20796
it'll,5217
its,3439
j.,8942
jack,14324
jail,2684
jake,3962
james,2478
jason,3026
jax,2326
jen,4301
jerry,2503
jessica,2310
jesus,2487
job,12047
joey,3216
john,4413
judge,2294
julian,3240
kay,2517
keep,21842
keeping,2371
kept,3152
kid,7380
kidding,4539
kids,8247
kill,10676
killed,6390
kind,19031
kinda,2662
kiss,3750
knew,13357
known,3757
knows,9217
ladies,2670
lady,4301
last,21965
late,8164
later,8636
law,3225
lawyer,2338
learn,2912
least,8119
leave,16978
leaving,4889
left,13428
leo,5390
less,3173
let,38858
let's,26132
lie,4536
life,34192
light,3554
lindsay,2461
line,5564
list,2518
listen,20142
little,47885
live,9507
lives,5095
living,4999
long,21086
longer,3043
look,67262
looked,3431
looking,13843
looks,8337
lose,5459
lost,8348
lot,19421
love,42994
loved,4851
loves,3876
luck,3792
lucky,5631
lucy,3450
luis,3773
luke,2614
lunch,2660
lying,3837
m.,2440
mad,3407
made,18872
make,46154
makes,8001
making,8623
man,37355
many,8504
marriage,4129
married,8798
marry,3564
matter,11578
max,3773
may,12199
maybe,37653
mean,61504
means,7980
meant,4596
meet,8608
meeting,4532
men,5678
mention,2434
mess,2516
message,2846
met,5032
michael,3878
middle,2802
might,15774
miguel,2678
million,2873
mind,15364
mine,6503
minute,11903
minutes,7185
miss,8806
missed,3043
missing,2845
mistake,4185
mm,6192
mmm,2414
mom,17514
moment,5770
mommy,2281
money,13456
months,4333
more,40239
morning,9823
most,9699
mother,16855
mouth,2807
move,9073
movie,3209
moving,3102
mr.,20053
mrs.,7064
ms.,3131
much,34270
murder,3089
music,2631
must,14089
